team,espn_fpi,lucas_fpi,espn_wins,lucas_wins,rankswap_wins,delta,espn_bowl,lucas_bowl,espn_10w,lucas_10w,flag
Minnesota,0.6,0.6,5.09,5.09,5.3,-0.0,0.382,0.382,0.001,0.001,
Houston,7.1,7.1,7.47,7.47,7.35,0.0,0.907,0.907,0.082,0.083,
East Carolina,-0.6,-0.6,8.11,8.1,7.91,-0.0,0.965,0.965,0.154,0.154,
Boise State,4.0,4.0,7.67,7.67,7.64,0.0,0.944,0.944,0.069,0.069,
BYU,13.1,13.1,8.76,8.76,8.72,0.0,0.987,0.987,0.309,0.309,
Colorado,4.5,4.5,5.96,5.96,4.25,0.0,0.612,0.612,0.013,0.013,under
Colorado State,-12.4,-12.4,3.53,3.53,3.4,0.0,0.072,0.072,0.0,0.0,
Cincinnati,4.4,4.4,6.34,6.34,6.4,0.0,0.709,0.709,0.015,0.015,
Baylor,6.5,6.5,6.63,6.62,6.08,-0.0,0.771,0.77,0.027,0.027,under
UCF,2.1,2.1,5.95,5.95,6.33,0.0,0.604,0.604,0.011,0.011,
Texas State,-4.3,-4.3,5.75,5.75,5.74,0.0,0.568,0.568,0.002,0.002,
UTEP,-16.6,-16.6,3.8,3.8,3.77,0.0,0.106,0.106,0.0,0.0,
UL Monroe,-19.3,-19.3,3.41,3.42,3.28,0.0,0.068,0.065,0.0,0.0,
Texas Tech,20.0,20.0,10.75,10.75,10.84,0.0,1.0,1.0,0.887,0.887,
Utah,8.5,8.5,7.88,7.88,7.97,0.0,0.936,0.936,0.148,0.148,
Tennessee,15.1,15.1,7.41,7.41,7.29,0.0,0.904,0.904,0.076,0.076,
Texas,26.9,26.9,9.75,9.75,9.78,-0.0,1.0,1.0,0.602,0.601,
North Texas,-6.4,-6.4,6.14,6.14,4.77,0.0,0.673,0.672,0.007,0.007,under
Oklahoma State,3.3,3.3,5.84,5.84,6.31,0.0,0.593,0.593,0.006,0.006,over
Rice,-13.4,-13.4,3.75,3.75,3.82,0.0,0.108,0.108,0.0,0.0,
Northern Illinois,-14.5,-14.5,4.34,4.34,4.37,0.0,0.202,0.202,0.0,0.0,
Notre Dame,25.9,25.9,11.08,11.08,11.06,0.0,1.0,1.0,0.953,0.953,
Akron,-16.9,-16.3,4.13,4.12,4.14,-0.01,0.158,0.155,0.0,0.0,
Army,-5.6,-5.6,6.44,6.43,6.53,-0.01,0.715,0.713,0.025,0.024,
Pittsburgh,6.6,6.6,7.23,7.22,6.1,-0.01,0.882,0.879,0.061,0.058,under
UCLA,0.5,0.5,4.96,4.96,6.2,-0.01,0.359,0.355,0.001,0.002,over
Kentucky,5.4,5.4,4.43,4.42,4.45,-0.01,0.212,0.21,0.0,0.0,
Clemson,13.4,13.4,8.32,8.31,7.06,-0.01,0.974,0.973,0.202,0.201,
Miami,21.8,21.8,10.22,10.2,10.41,-0.01,1.0,1.0,0.773,0.771,
UNLV,1.8,1.8,9.0,8.99,8.88,-0.01,0.99,0.989,0.384,0.382,
TCU,6.4,6.4,6.84,6.83,6.82,-0.01,0.806,0.803,0.038,0.037,
Missouri,12.2,12.2,6.63,6.61,6.55,-0.02,0.782,0.777,0.024,0.023,
Iowa State,-0.9,-0.9,4.99,4.97,5.65,-0.02,0.355,0.351,0.001,0.001,
Kennesaw State,-9.0,-9.0,6.54,6.52,6.91,-0.02,0.753,0.747,0.024,0.024,
Memphis,-1.9,-1.9,7.05,7.03,7.56,-0.02,0.853,0.849,0.048,0.046,over
UTSA,-5.3,-5.3,6.52,6.49,7.83,-0.02,0.754,0.749,0.018,0.018,over
Stanford,-3.3,-3.3,3.58,3.54,3.46,-0.03,0.077,0.073,0.0,0.0,
Boston College,-2.7,-2.7,3.72,3.69,3.63,-0.03,0.093,0.089,0.0,0.0,
Temple,-8.6,-8.6,5.55,5.52,5.35,-0.03,0.506,0.497,0.003,0.003,
Georgia State,-15.2,-15.2,4.28,4.24,4.13,-0.04,0.198,0.188,0.0,0.0,
California,0.9,0.9,5.39,5.35,7.4,-0.04,0.466,0.453,0.003,0.003,over
Georgia Tech,4.2,4.2,5.75,5.7,7.03,-0.05,0.566,0.553,0.007,0.006,over
Duke,3.5,3.5,5.87,5.82,6.18,-0.05,0.602,0.586,0.008,0.006,
Wisconsin,4.8,4.8,6.5,6.44,5.25,-0.05,0.76,0.751,0.014,0.013,under
Sam Houston,-18.4,-18.4,3.75,3.7,3.71,-0.05,0.103,0.096,0.0,0.0,
Utah State,-6.7,-6.7,4.65,4.58,4.31,-0.06,0.259,0.243,0.0,0.0,
Florida Atlantic,-11.3,-11.3,4.94,4.88,6.17,-0.06,0.346,0.329,0.001,0.001,over
Coastal Carolina,-12.1,-12.1,4.99,4.94,4.89,-0.06,0.362,0.349,0.001,0.001,
Middle Tennessee,-16.1,-16.1,4.46,4.4,4.46,-0.06,0.233,0.218,0.0,0.0,
San José State,-14.3,-14.3,4.88,4.81,5.25,-0.07,0.337,0.32,0.001,0.001,
Ball State,-17.3,-17.9,4.02,3.94,4.01,-0.08,0.149,0.137,0.0,0.0,
South Florida,-0.9,-0.9,8.51,8.43,8.12,-0.08,0.981,0.976,0.244,0.229,
Purdue,-0.9,-0.9,4.09,4.0,4.01,-0.09,0.156,0.138,0.0,0.0,
New Mexico,-3.5,-3.5,7.72,7.6,8.03,-0.11,0.933,0.922,0.101,0.088,
Georgia Southern,-8.7,-8.8,5.58,5.47,5.6,-0.11,0.517,0.488,0.004,0.004,
Miami (OH),-7.0,-7.0,7.2,7.07,7.26,-0.13,0.878,0.859,0.052,0.043,
Maryland,1.0,1.0,5.21,5.08,5.08,-0.13,0.419,0.381,0.001,0.001,
Wyoming,-13.1,-13.1,5.27,5.15,5.6,-0.13,0.438,0.406,0.003,0.002,
Northwestern,1.4,1.4,4.99,4.86,4.72,-0.13,0.349,0.311,0.0,0.0,under
Virginia,7.9,7.4,7.93,7.79,7.52,-0.14,0.946,0.934,0.148,0.129,
Michigan State,0.3,-0.2,4.45,4.3,4.41,-0.15,0.23,0.201,0.0,0.0,
Western Michigan,-4.0,-4.0,7.79,7.57,7.84,-0.22,0.947,0.926,0.101,0.08,
Buffalo,-10.8,-10.8,6.67,6.42,6.59,-0.25,0.796,0.743,0.018,0.012,
Charlotte,-14.6,-15.5,3.65,3.4,3.54,-0.25,0.093,0.064,0.0,0.0,
Delaware,-6.6,-7.7,6.8,6.48,6.1,-0.32,0.815,0.749,0.029,0.018,under
USC,17.0,15.9,8.45,8.11,8.09,-0.34,0.989,0.979,0.199,0.128,
Florida State,9.3,7.9,6.72,6.36,5.6,-0.36,0.797,0.718,0.025,0.014,under
Michigan,15.9,13.7,7.99,7.4,6.55,-0.59,0.972,0.924,0.113,0.05,
Nebraska,8.8,6.3,6.78,6.17,6.07,-0.61,0.833,0.692,0.016,0.004,
Missouri State,-10.3,-12.6,5.58,4.93,4.92,-0.65,0.52,0.344,0.003,0.0,
Ohio,-8.0,-10.4,7.15,6.43,7.15,-0.72,0.863,0.72,0.055,0.022,
Southern Miss,-5.1,-10.5,6.86,5.21,5.38,-1.65,0.821,0.418,0.033,0.002,under
Sacramento State,-10.4,-17.3,6.59,4.5,6.61,-2.09,0.759,0.243,0.026,0.001,
